Array Size,# of processors,Run Time (s)
32768,1,0.012918
32768,2,0.006985
32768,4,0.004482
32768,8,0.007365
32768,16,0.013108
32768,32,0.028459
32768,64,0.050572
65536,1,0.014757
65536,2,0.007902
65536,4,0.006928
65536,8,0.008077
65536,16,0.013679
65536,32,0.025304
65536,64,0.053907
131072,1,0.02563
131072,2,0.017218
131072,4,0.015136
131072,8,0.008688
131072,16,0.016533
131072,32,0.026984
131072,64,0.061282
262144,1,0.050649
262144,2,0.027879
262144,4,0.019726
262144,8,0.018806
262144,16,0.021795
262144,32,0.036631
262144,64,0.061709
524288,1,0.094042
524288,2,0.051885
524288,4,0.035081
524288,8,0.030195
524288,16,0.03776
524288,32,0.057603
524288,64,0.108844
1048576,1,0.190373
1048576,2,0.110496
1048576,4,0.065977
1048576,8,0.050056
1048576,16,0.043125
1048576,32,0.071695
1048576,64,0.121661
2097152,1,0.384292
2097152,2,0.203575
2097152,4,0.114317
2097152,8,0.09825
2097152,16,0.078427
2097152,32,0.087417
2097152,64,0.137003
4194304,1,0.777523
4194304,2,0.429738
4194304,4,0.23042
4194304,8,0.131008
4194304,16,0.102452
4194304,32,0.113493
4194304,64,0.172871
8388608,1,1.579395
8388608,2,0.854098
8388608,4,0.447944
8388608,8,0.255358
8388608,16,0.186981
8388608,32,0.181495
8388608,64,0.232559
16777216,1,3.210352
16777216,2,1.752022
16777216,4,0.912785
16777216,8,0.525499
16777216,16,0.368837
16777216,32,0.34181
16777216,64,0.399012
33554432,1,6.525061
33554432,2,3.564175
33554432,4,1.846009
33554432,8,1.064978
33554432,16,0.775833
33554432,32,0.656247
33554432,64,0.634079
67108864,1,12.651649
67108864,2,7.255725
67108864,4,3.802786
67108864,8,2.18395
67108864,16,1.506252
67108864,32,1.343525
67108864,64,1.320761
134217728,1,25.04374
134217728,2,14.183739
134217728,4,7.659928
134217728,8,4.504621
134217728,16,3.177707
134217728,32,2.59348
134217728,64,2.436894
268435456,1,48.621971
268435456,2,29.640348
268435456,4,15.657535
268435456,8,9.087002
268435456,16,6.170292
268435456,32,5.067132
268435456,64,4.673401
536870912,1,97.899335
536870912,2,55.681778
536870912,4,32.051699
536870912,8,17.973121
536870912,16,12.190013
536870912,32,10.157543
536870912,64,9.259845
